time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4,episode,total_reward
0.18,-0.0076492835574350215,-0.004335172763709947,0.0,6.257935676861999,2.5469187464737058,0.0,-0.38085952063113226,-0.11558820190199853,-1.1137311136565806,1.6592671681861209,-0.49435565106954316,0.0,425.434685364121,375.3118044424453,407.9972767663627,459.3988207998649,1,-8.999999962723788
0.18,-0.012150117387212746,-0.019037480350129858,0.0,3.206572295736816,0.3146233206994742,0.0,-0.28196453009125566,-0.14537112605615626,-0.9518318560364382,2.268016774224584,-0.2069306793817832,0.0,403.0747934391952,402.32726694354295,397.87466794030365,480.0665890469405,2,-8.999999962657524
0.23999999999999996,-0.006071106786798669,0.005733560665792824,0.0,1.3322406597668426,1.1681309931950707,0.0,-0.28147629913080985,-0.008386093252641794,-0.8042137273423196,1.8170168405378277,0.2780651892138933,0.0,405.0901109666836,436.5565995130343,405.03274362985746,479.29965963204944,3,-11.99999994941251
0.18,-0.012920208826831618,-0.017869379316090925,0.0,3.0395255459176145,0.337212757213762,0.0,-0.30035184898596134,-0.14306020118165697,-0.9477577843102013,2.254338596503023,-0.2259152530718112,0.0,403.9925304778147,402.10037905341784,399.33659750249876,480.90466002311905,4,-8.99999996265975
1.740000000000001,-3.1500191323779805,3.666403680730376,0.0,5.29733558891969,5.366471005747691,0.0,-5.478950543517854,4.624832622328115,-5.553655316764876,6.0596244585978285,0.31922290126762276,0.0,496.6619414224615,479.45016755394516,375.94018012473566,492.6116776126038,5,-86.9999982804401
0.18,-0.012442487045045015,-0.017468959996675436,0.0,3.0231357530277556,0.324666600807749,0.0,-0.28940879913428763,-0.1387607437366674,-0.947509188467887,2.253204836328678,-0.22284924078882484,0.0,404.3656361203702,402.36571433803175,399.2653084761855,480.9029755021571,6,-8.99999996266111
0.18,-0.009165154295773463,0.007165636232418455,0.0,2.156603400878108,0.9859403636797026,0.0,-0.309926572081591,0.0937528552725258,-0.7140619826410377,1.4089140123142387,-0.46200417303483077,0.0,409.0645863630973,380.0420339448833,413.50863734585556,466.798104993062,7,-8.999999962687262
1.740000000000001,-2.8993722543743,3.7240502165149247,0.0,1.3263706043542767,1.038601829235862,0.0,-4.9799215679249995,5.220571425693715,-4.939743538442953,7.161412644754785,1.757888299330952,0.0,487.06819870076237,524.8134618383667,394.7061052879851,461.7882997080721,8,-86.99999836953639
0.18,-0.008897752327674162,0.007211341118062645,0.0,2.184479538151745,0.9587122388571538,0.0,-0.3016790974581146,0.10042855848780022,-0.7119307176059833,1.4103224091011461,-0.4552281371632001,0.0,408.84835546154153,380.2088652595307,413.48972712460005,466.8735969553034,9,-8.999999962686992
0.18,-0.012291041922876866,-0.018464894290808644,0.0,3.163198183153076,0.3189872737216559,0.0,-0.2854624731882773,-0.14085548810036602,-0.9503742858482708,2.2646188428359553,-0.21467947739543405,0.0,403.61820657106534,402.30944886152344,398.40894214113274,480.5083542151604,10,-8.999999962658405
