time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-9.262691988563571e-06,2.4645485142724137e-06,10.003739446084955,0.0007564895547602646,0.0020659545114591893,0.0,-0.0005449962490485895,0.0001532018685437624,0.1246417831790016,0.008403106390476698,-0.016990928077799672,0.0,444.789600716547,443.39624996924755,444.8616987987473,445.5490636525948
0.12000000000000001,-9.196310330659828e-05,4.216277489801089e-05,10.012392479060342,0.005772064173579672,0.005602241198457314,0.0,-0.0025198782615890956,0.0016159737009862633,0.16378542798149173,0.030501276665915407,0.0052212306552842725,0.0,415.6539799241043,417.59578278831617,416.74775107898387,418.674456553779
0.18,-0.00037248317895845385,0.00031525620726722783,10.02681668795299,0.016788417429545177,0.006883187172669558,0.0,-0.006960787656129706,0.008735375356136955,0.31697802303541367,-0.003922169612386993,0.014863782918531862,0.0,453.0986295777978,453.8729306773108,454.9398032880607,452.1756598093828
0.23999999999999996,-0.0009680760865704904,0.0012638347309520202,10.053209768050499,0.017496052652770544,0.0079913339332629,0.0,-0.013036614547107814,0.022984523104550902,0.562699502166722,-0.01582709033083784,0.008429422036377506,0.0,481.9536375504062,481.4670230104589,480.94009138712175,480.0378153510249
0.3,-0.0019186968901440087,0.002982103630518598,10.088517016693439,0.018150811041731885,0.011849719552954774,0.0,-0.019036612889993382,0.03436695378504495,0.6141770209897949,-0.030954344511615845,-0.012864172002524437,0.0,422.7024315316261,420.86369313102324,422.0844990000862,420.77711817867004
0.36000000000000004,-0.00332721813527081,0.005447951861089613,10.129933997388866,0.018003487478458702,0.012339410643988913,0.0,-0.027981685021567428,0.047827195261708894,0.7662977885091702,-0.04652925814748523,-0.02642646549519482,0.0,454.10717158169246,453.01817429852565,454.2671356942339,453.01609587096993
0.4200000000000001,-0.005252146862228859,0.008669246688384452,10.178245329997972,0.015642413534402877,0.012347020673908915,0.0,-0.03617023998451312,0.05932349707356804,0.8440292005953913,-0.05501805299691029,-0.013747648332768918,0.0,429.3352082800698,430.40939530600014,431.3686550010885,430.6497133278761
0.48000000000000015,-0.00763912779624628,0.012519246215515771,10.228803214350643,0.01997192344924148,0.012102987714552427,0.0,-0.04338308163160148,0.06941317610935814,0.8412285669789844,-0.08650230784001045,-0.023382108144291543,0.0,404.31016074178865,403.44135112707727,405.0562865453516,402.2115477155267
0.5400000000000001,-0.010482632448661348,0.017064188310070907,10.281605031157184,0.014804525975752547,0.011875934273276378,0.0,-0.05136679287264996,0.08157668673589369,0.91878203614084,-0.08974497747007552,-0.012642959184078642,0.0,429.025605752805,429.9363454603332,431.6722419028683,431.39194022259545
0.6000000000000002,-0.013824636678097356,0.02224854644483509,10.339869502379992,0.010292680734124815,0.015584311793968908,0.0,-0.06039048065151464,0.0907610670242423,1.0232803415947647,-0.08064097577590998,0.009340571076241352,0.0,438.4664939415719,440.2888753968629,438.71482411462404,439.46367347774776
0.6600000000000003,-0.017746608393025297,0.027873700112074674,10.402630122059008,0.005832332521526595,0.01613521867769574,0.0,-0.07039378229447005,0.09631909560029275,1.0687016738259605,-0.07499936103571236,0.008685278755429278,0.0,420.69678871472985,420.63993520826943,419.7648336029108,420.2487107563606
0.7200000000000003,-0.0223243146208026,0.03376117910363712,10.470472828949326,0.0018995922663895826,0.018167217250826262,0.0,-0.08242455208138243,0.09950673082265735,1.1925984608680342,-0.06786268186707238,-0.006033022316674839,0.0,446.05957185275696,444.85608361876876,445.47123430332095,446.05029243296366
0.7800000000000004,-0.02767819427589385,0.03976135530671273,10.546479586122823,6.2819976127817085,0.019517246968874247,0.0,-0.09619967457945552,0.10017514169994582,1.3407949049426005,-0.07999828928543523,-0.021616397735928855,0.0,453.54558516479153,452.2925089493617,454.35723184754175,453.3794701168877
0.8400000000000004,-0.03398186114160534,0.045727748372043776,10.635721673978475,6.279749520110533,0.022971470006337036,0.0,-0.11433648235500622,0.09839056380154755,1.6335603634400395,-0.06365857038263902,0.0010914237297603435,0.0,496.0869401979626,497.75146664181455,494.6462193118507,495.8441855829755
0.9000000000000005,-0.0413259680094456,0.051546938390114753,10.736631330663897,6.276385915396929,0.02566864410865133,0.0,-0.13075697047777285,0.09523526720889151,1.729944710002975,-0.05736560501318195,-0.017919845275109803,0.0,439.15527874451556,437.57568815525,438.27182871066134,438.79174053336584
0.9600000000000005,-0.049750101531424985,0.05710956692229933,10.845232841510757,6.2764451594761965,0.02627756320419916,0.0,-0.1500945391967716,0.09021845704772564,1.8898528964779076,-0.07909846439294212,-0.004853359205342477,0.0,457.53738884182917,458.57652555506905,459.7585649020076,458.0305933701447
1.0200000000000005,-0.0593394064218889,0.062374263880216295,10.962580213480283,6.276220694242536,0.030399051748561945,0.0,-0.16995953349046708,0.0852258737767727,2.0214891426726083,-0.05697479233463596,0.01698931469705455,0.0,450.16513089703955,451.92901517640735,448.79038847296687,450.5784725860049
1.0800000000000005,-0.07018966210895654,0.06733132966000646,11.087517989382967,6.274052391352544,0.03143269349883315,0.0,-0.1918214339515114,0.07979758420298166,2.142877345026166,-0.07048218714598528,0.014013313347673875,0.0,447.38272832902743,447.1402694357323,448.67815830712215,447.5775608880517
1.1400000000000006,-0.08244080199225232,0.07189100285295498,11.221608587226026,6.270171424386724,0.03407642609388084,0.0,-0.21685967460163957,0.0717602005678694,2.326437343627939,-0.07825505630335426,-0.0019444500644670189,0.0,467.97739728088317,466.7335700915277,467.17297251744355,466.5626658731449
